"dates","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2014-02-18",130.130005,130.940002,129.600006,130.630005,4645300,112.275421
"2014-02-19",130.110001,130.5,128.369995,128.389999,5146600,110.350159
"2014-02-20",128.479996,129.990005,127.510002,129.559998,4466400,111.355766
"2014-02-21",129.800003,129.800003,128.110001,128.279999,5164000,110.255623
"2014-02-24",128.380005,130.800003,128.360001,129.589996,4635700,111.381561
"2014-02-25",129.300003,129.75,126.209999,126.779999,7308800,108.966377
"2014-02-26",127.239998,127.940002,126.360001,126.610001,4803600,108.820282
"2014-02-27",126.470001,128.559998,126.260002,128.559998,4649700,110.496284
"2014-02-28",128.75,129.949997,128.059998,128.919998,4361400,110.805695
"2014-03-03",127.18,128.440002,126.519997,128.220001,4847100,110.204063
"2014-03-04",129.380005,131,129.330002,130.229996,5422800,111.931633
"2014-03-05",130.399994,130.800003,128.690002,128.789993,4095200,110.693939
"2014-03-06",129.009995,129.369995,128.029999,128.860001,3595900,110.754128
"2014-03-07",129.75,130.160004,128.070007,128.539993,4297800,110.47908
"2014-03-10",126.510002,127.279999,124.760002,126.889999,7039200,109.060921
"2014-03-11",127.029999,127.269997,125.620003,125.669998,4190000,108.012344
"2014-03-12",125,125.199997,123.809998,124.43,5040100,106.946571
"2014-03-13",124.650002,125.610001,121.629997,121.889999,6071200,104.763466
"2014-03-14",122.120003,124.279999,121.949997,123.110001,5698400,105.812057
"2014-03-17",123.970001,125.82,123.919998,125.419998,4380500,107.797478
"2014-03-18",125.589996,125.82,123.660004,124.040001,4151600,106.611389
"2014-03-19",124.32,125.199997,121.370003,122.239998,6673000,105.064285
"2014-03-20",122.589996,123.900002,121.379997,123.730003,4601700,106.344925
"2014-03-21",124.059998,124.449997,122.5,122.580002,7973600,105.356514
"2014-03-24",123.529999,123.949997,122.080002,123.419998,4472500,106.078491
"2014-03-25",124.459999,125,123.559998,124.019997,3225100,106.594154
"2014-03-26",124.610001,125.32,123.32,123.529999,3091200,106.173027
"2014-03-27",123.010002,124.300003,121.800003,123.209999,3106000,105.897987
"2014-03-28",123.779999,125.190002,123.519997,124.459999,2863500,106.972359
"2014-03-31",125.360001,126.040001,124.800003,125.489998,2962000,107.857635
"2014-04-01",126.239998,128.399994,126.169998,128.210007,3952800,110.195465
"2014-04-02",128.630005,128.770004,127.400002,128.309998,2935200,110.28141
"2014-04-03",129.169998,129.169998,128.279999,128.779999,3303500,110.685379
"2014-04-04",129.330002,129.919998,127.230003,127.379997,4156600,109.482071
"2014-04-07",127.190002,128.179993,124.949997,125.589996,3753600,107.943573
"2014-04-08",125.279999,125.730003,124.059998,124.150002,4122200,106.70594
"2014-04-09",124.989998,127.019997,124.050003,126.879997,3689900,109.05233
"2014-04-10",126.82,126.860001,123.639999,123.639999,3956900,106.267593
"2014-04-11",123.050003,123.449997,121.919998,122.07,3854600,104.918159
"2014-04-14",123.080002,123.769997,122.18,123.25,3086300,105.932388
"2014-04-15",123.349998,124.550003,122.129997,124.269997,2746900,106.809067
"2014-04-16",125,126.040001,124.730003,126.040001,2826100,108.330368
"2014-04-17",126.440002,128.369995,125.830002,127.919998,3449400,109.946205
"2014-04-21",128.050003,128.440002,127.370003,127.82,2368500,109.860268
"2014-04-22",128.25,129.130005,127.480003,127.550003,5015600,109.628204
"2014-04-23",130.669998,131.5,129.330002,130.630005,7121600,112.275421
"2014-04-24",130.410004,130.619995,128.429993,129.860001,4177000,111.613632
"2014-04-25",129.839996,130,128.369995,128.660004,2978500,110.582245
"2014-04-28",128.199997,128.869995,125.800003,127.040001,4354600,109.189842
"2014-04-29",127.199997,128.570007,126.529999,128.369995,3344100,110.332954
"2014-04-30",128.050003,129.5,127.800003,129.020004,2773000,110.89164
