"dates","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2014-06-27",8.802963,8.865185,8.782222,8.791111,1541025,8.005179
"2014-06-30",8.820741,8.912593,8.740741,8.888889,829913,8.094216
"2014-07-01",8.888889,8.998519,8.841481,8.962963,1225800,8.161669
"2014-07-02",8.954074,9.04,8.93037,8.992593,848138,8.188649
"2014-07-03",9.025185,9.04,8.971852,9.028148,718200,8.221029
"2014-07-07",9.013333,9.037037,8.93037,8.954074,482288,8.153576
"2014-07-08",8.939259,8.957037,8.835556,8.853333,641250,8.061839
"2014-07-09",8.874074,8.897778,8.758519,8.776296,517725,7.991691
"2014-07-10",8.657778,8.802963,8.622222,8.758519,644288,7.975501
"2014-07-11",8.752593,8.811852,8.725926,8.767407,340538,7.983596
"2014-07-14",8.823704,8.823704,8.722963,8.752593,418163,7.970106
"2014-07-15",8.714074,8.811852,8.634074,8.678519,638550,7.902655
"2014-07-16",8.711111,8.711111,8.527407,8.637037,914625,7.864883
"2014-07-17",8.631111,8.705185,8.562963,8.574815,536963,7.808222
"2014-07-18",8.604444,8.69037,8.574815,8.634074,378338,7.862183
"2014-07-21",8.595556,8.642963,8.53037,8.622222,260888,7.851391
"2014-07-22",8.637037,8.72,8.619259,8.648889,467100,7.875672
"2014-07-23",8.72,8.72,8.545185,8.648889,511650,7.875672
"2014-07-24",8.654815,8.764444,8.628148,8.708148,385425,7.929633
"2014-07-25",8.678519,8.699259,8.616296,8.64,347625,7.867579
"2014-07-28",8.660741,8.696296,8.565926,8.625185,492413,7.854089
"2014-07-29",8.645926,8.66963,8.557037,8.56,600750,7.794732
"2014-07-30",8.562963,8.592593,8.503704,8.512593,374288,7.751562
"2014-07-31",8.441481,8.527407,8.352593,8.388148,843750,7.638242
"2014-08-01",8.388148,8.456296,8.314074,8.352593,1008788,7.605867
"2014-08-04",8.388148,8.465185,8.29037,8.435556,629775,7.681414
"2014-08-05",8.397037,8.50963,8.397037,8.471111,511650,7.713788
"2014-08-06",8.414815,8.500741,8.334815,8.453333,405675,7.725975
"2014-08-07",8.503704,8.503704,8.423704,8.432593,368550,7.707019
"2014-08-08",8.435556,8.533333,8.426667,8.515556,307125,7.782846
"2014-08-11",8.574815,8.595556,8.515556,8.545185,501525,7.809923
"2014-08-12",8.515556,8.592593,8.494815,8.568889,464063,7.831589
"2014-08-13",8.592593,8.66963,8.545185,8.654815,306113,7.91012
"2014-08-14",8.681481,8.705185,8.634074,8.663704,375975,7.918245
"2014-08-15",8.711111,8.74963,8.616296,8.678519,456300,7.931785
"2014-08-18",8.72,8.8,8.72,8.77037,280800,8.015734
"2014-08-19",8.773333,8.820741,8.77037,8.805926,209588,8.048229
"2014-08-20",8.779259,8.832593,8.761481,8.811852,381038,8.053645
"2014-08-21",8.77037,8.832593,8.743704,8.823704,365513,8.064478
"2014-08-22",8.805926,8.856296,8.8,8.805926,366525,8.048229
"2014-08-25",8.868148,8.868148,8.767407,8.791111,404663,8.034686
"2014-08-26",8.817778,8.835556,8.746667,8.811852,359438,8.053645
"2014-08-27",8.844444,8.844444,8.764444,8.791111,357750,8.034686
"2014-08-28",8.758519,8.814815,8.717037,8.785185,346613,8.029272
"2014-08-29",8.797037,8.820741,8.731852,8.814815,446850,8.056353
"2014-09-02",8.844444,9.001481,8.782222,8.992593,948038,8.218833
"2014-09-03",9.01037,9.06963,8.918519,8.954074,414450,8.183629
"2014-09-04",8.980741,9.001481,8.936296,8.968889,596025,8.19717
"2014-09-05",8.939259,9.051852,8.906667,9.022222,289238,8.245914
"2014-09-08",9.01037,9.045926,8.957037,9.034074,421875,8.256744
"2014-09-09",9.034074,9.034074,8.954074,8.98963,455288,8.216125
"2014-09-10",9.025185,9.037037,8.962963,9.001481,453263,8.226957
"2014-09-11",8.954074,9.037037,8.936296,8.995556,376988,8.22154
"2014-09-12",9.004444,9.013333,8.921481,8.954074,278438,8.183629
"2014-09-15",8.980741,9.004444,8.915556,8.954074,251438,8.183629
"2014-09-16",8.945185,9.013333,8.868148,8.942222,608175,8.172798
"2014-09-17",8.924444,8.971852,8.885926,8.93037,313538,8.161964
"2014-09-18",8.957037,8.957037,8.885926,8.900741,323325,8.134888
"2014-09-19",8.945185,8.957037,8.841481,8.841481,900113,8.080726
"2014-09-22",8.820741,8.85037,8.752593,8.785185,395213,8.029272
"2014-09-23",8.737778,8.779259,8.663704,8.672593,444150,7.926368
"2014-09-24",8.642963,8.77037,8.634074,8.725926,423563,7.975115
"2014-09-25",8.678519,8.734815,8.592593,8.598519,464738,7.858669
"2014-09-26",8.58963,8.687407,8.557037,8.660741,410063,7.915538
"2014-09-29",8.577778,8.708148,8.577778,8.699259,329400,7.95074
"2014-09-30",8.684444,8.702222,8.625185,8.675556,455963,7.929076
"2014-10-01",8.681481,8.705185,8.474074,8.518519,1402650,7.785552
"2014-10-02",8.533333,8.619259,8.441481,8.488889,553838,7.758472
"2014-10-03",8.545185,8.548148,8.491852,8.500741,339188,7.769304
"2014-10-06",8.53037,8.545185,8.447407,8.491852,282488,7.761179
"2014-10-07",8.438519,8.48,8.391111,8.414815,654075,7.69077
"2014-10-08",8.405926,8.536296,8.325926,8.521481,537638,7.788258
