"dates","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2014-05-30",79.419998,80.110001,79.209999,79.940002,5991400,65.245262
"2014-06-02",80.209999,80.550003,79.050003,79.480003,5071900,64.869812
"2014-06-03",79.470001,79.870003,79.279999,79.82,4551700,65.147331
"2014-06-04",79.720001,79.989998,79.580002,79.800003,3585400,65.130981
"2014-06-05",79.809998,80.059998,79.5,80.050003,4144600,65.335045
"2014-06-06",80.360001,81.18,80.220001,80.839996,5409500,65.979828
"2014-06-09",80.57,81.129997,80.400002,80.849998,3213400,65.987991
"2014-06-10",80.830002,81.660004,80.559998,81.629997,6663400,66.624596
"2014-06-11",81.5,82.099998,81.459999,81.949997,4538300,66.885765
"2014-06-12",82.150002,83.239998,82.129997,82.860001,6279100,67.628494
"2014-06-13",82.800003,83.089996,82.050003,83.080002,4374900,67.808067
"2014-06-16",83.190002,83.830002,82.919998,83.690002,4753500,68.305908
"2014-06-17",83.18,83.779999,82.639999,83.75,4859500,68.354904
"2014-06-18",83.57,84.300003,83.18,84.239998,4511900,68.754814
"2014-06-19",84.269997,84.769997,84.139999,84.769997,4083800,69.187393
"2014-06-20",85.110001,85.459999,84.779999,85.360001,7426200,69.668922
"2014-06-23",85.589996,86.43,85.470001,86.099998,5943500,70.272926
"2014-06-24",86.019997,86.019997,84.790001,84.800003,8087800,69.211876
"2014-06-25",84.650002,85.730003,84.650002,85.620003,4980600,69.881134
"2014-06-26",85.589996,85.970001,84.559998,85.959999,4587900,70.158638
"2014-06-27",85.75,86.059998,85.400002,86,4511900,70.191322
"2014-06-30",85.809998,85.93,85.220001,85.730003,4045900,69.970917
"2014-07-01",86.25,86.389999,85.639999,86.110001,3537900,70.281082
"2014-07-02",85.809998,85.980003,85.309998,85.860001,3513600,70.077034
"2014-07-03",85.730003,86.400002,85.540001,86.400002,2669800,70.517754
"2014-07-07",85.839996,86.209999,85.18,86.099998,3925600,70.272926
"2014-07-08",85.980003,86.650002,85.730003,86.040001,4988900,70.223953
"2014-07-09",86.07,86.290001,85.709999,85.800003,5722700,70.028076
"2014-07-10",84.910004,85.93,82.779999,85.669998,8248600,69.921959
"2014-07-11",85.519997,85.610001,84.440002,84.730003,4875800,69.154739
"2014-07-14",85.129997,85.900002,84.919998,85.839996,4671900,70.060692
"2014-07-15",85.629997,85.800003,84.32,84.709999,6041900,69.138405
"2014-07-16",85.220001,86.760002,85.169998,86.690002,6313600,70.754486
"2014-07-17",86.019997,86.400002,84.580002,84.68,5087400,69.70089
"2014-07-18",84.900002,85.209999,84.519997,84.760002,4689200,69.766724
"2014-07-21",84.879997,85.169998,84.330002,84.529999,4718900,69.577431
"2014-07-22",84.93,86.110001,84.860001,86.019997,4426100,70.803864
"2014-07-23",86.120003,86.870003,85.690002,86.760002,4104700,71.412949
"2014-07-24",86.68,87.089996,86.239998,86.25,5033400,70.993141
"2014-07-25",86.160004,86.639999,85.779999,85.919998,3047300,70.721535
"2014-07-28",86,86.110001,85.080002,85.190002,4804400,70.120674
"2014-07-29",85.010002,85.440002,84.699997,84.709999,4054300,69.725555
"2014-07-30",85.25,85.889999,84.110001,84.629997,5531800,69.659737
