"dates","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2013-02-07",69.730003,72.870003,69.25,72.660004,937700,61.381313
"2013-02-08",73.199997,73.900002,72.43,73.599998,623700,62.175388
"2013-02-11",73.650002,74.040001,72.839996,73.330002,289400,61.947308
"2013-02-12",73.510002,73.790001,73.199997,73.440002,240900,62.04023
"2013-02-13",73.900002,74.440002,73.580002,74.169998,292000,62.656914
"2013-02-14",73.860001,73.989998,73.309998,73.800003,321100,62.344368
"2013-02-15",73.779999,74.25,73.540001,73.879997,329300,62.411934
"2013-02-19",73.830002,74.160004,73.489998,73.849998,345400,62.386566
"2013-02-20",73.690002,73.690002,72.43,72.440002,447200,61.195457
"2013-02-21",72.470001,72.550003,71.43,71.910004,393600,60.74773
"2013-02-22",72.099998,72.510002,71.629997,72.459999,263400,61.212326
"2013-02-25",72.860001,72.860001,70.730003,70.730003,324300,59.750885
"2013-02-26",71.07,71.75,70.889999,71.629997,279600,60.511192
"2013-02-27",71.650002,73.029999,71.639999,72.800003,309200,61.499565
"2013-02-28",72.889999,73.339996,72.550003,72.980003,310400,61.651638
"2013-03-01",72.75,73.379997,72.040001,73.300003,440900,61.921974
"2013-03-04",73.330002,73.550003,72.699997,73.339996,331400,61.955757
"2013-03-05",73.629997,73.970001,73.190002,73.419998,357200,62.023342
"2013-03-06",73.589996,73.989998,73.57,73.790001,234200,62.335903
"2013-03-07",73.790001,73.989998,73.389999,73.669998,182800,62.234535
"2013-03-08",73.860001,74.169998,73.629997,73.989998,293700,62.504837
"2013-03-11",73.800003,75.190002,73.800003,75.110001,402000,63.451004
"2013-03-12",75.099998,75.099998,74.519997,74.790001,295800,63.180664
"2013-03-13",74.839996,75.540001,74.5,75.410004,305000,63.704426
"2013-03-14",75.489998,75.860001,75.150002,75.849998,308800,64.076126
"2013-03-15",75.480003,76.290001,75.339996,76.139999,522500,64.321114
"2013-03-18",75.480003,75.849998,75.25,75.650002,234900,63.907204
"2013-03-19",75.480003,75.790001,74.650002,75.449997,397800,64.025978
"2013-03-20",75.849998,76.879997,75.650002,76.860001,297900,65.222511
"2013-03-21",76.93,77.400002,75.559998,75.839996,402000,64.356911
"2013-03-22",76.269997,76.370003,75.040001,75.440002,417300,64.017502
"2013-03-25",75.470001,76.099998,74.910004,75.269997,340700,63.873241
"2013-03-26",75.589996,75.940002,75.089996,75.739998,192300,64.272072
"2013-03-27",75.339996,75.440002,74.800003,75.400002,224000,63.983566
"2013-03-28",75.449997,76.690002,75.269997,76.669998,468500,65.061249
"2013-04-01",76.349998,76.690002,75.330002,75.480003,240200,64.05143
"2013-04-02",75.510002,75.919998,75.010002,75.300003,258600,63.898689
"2013-04-03",75.190002,75.510002,73.900002,74.160004,299000,62.931305
"2013-04-04",74.349998,74.769997,73.970001,74.610001,340200,63.313168
"2013-04-05",73.790001,74.07,73.419998,73.769997,310700,62.600353
"2013-04-08",73.709999,73.970001,73.089996,73.949997,252900,62.75309
"2013-04-09",74.080002,74.199997,73.25,73.889999,293100,62.702183
"2013-04-10",74.139999,75.360001,73.839996,75.290001,335100,63.890205
"2013-04-11",75.290001,76.300003,74.959999,76.059998,272100,64.543602
"2013-04-12",75.739998,76.279999,75.010002,75.480003,254000,64.05143
"2013-04-15",75.07,75.07,73.510002,73.519997,338700,62.388206
"2013-04-16",74,75.190002,73.870003,75.150002,286100,63.771439
"2013-04-17",74.660004,74.669998,73.739998,74.449997,231700,63.177387
"2013-04-18",74.57,74.779999,73.57,73.849998,156400,62.668243
"2013-04-19",74.25,75.190002,73.949997,75.059998,397200,63.69503
"2013-04-22",75.18,76.32,74.120003,76.099998,293400,64.577576
"2013-04-23",76.379997,77.199997,76.220001,77.089996,319700,65.417679
