"dates","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2011-05-31",20.004999,20.2775,20.002501,20.264999,15274400,18.90373
"2011-06-01",20.190001,20.190001,19.795,19.795,17732800,18.465294
"2011-06-02",19.797501,20.205,19.7875,20.174999,19466400,18.819777
"2011-06-03",19.952499,20.09,19.74,19.782499,18954400,18.453644
"2011-06-06",19.75,19.8925,19.5375,19.549999,17628000,18.236759
"2011-06-07",19.700001,20.032499,19.629999,19.955,27764800,18.614548
"2011-06-08",19.672501,19.672501,18.592501,19.1775,80785200,17.889282
"2011-06-09",19.07,19.182501,18.969999,19.1075,32074000,17.823984
"2011-06-10",19.0525,19.077499,18.637501,18.672501,29456800,17.418203
"2011-06-13",18.7125,18.785,18.575001,18.715,20820000,17.457848
"2011-06-14",18.7775,19.067499,18.7075,18.9825,30033600,17.707382
"2011-06-15",18.885,19.0075,18.702499,18.709999,22775600,17.453188
"2011-06-16",18.700001,18.844999,18.594999,18.719999,21041600,17.462513
"2011-06-17",18.852501,18.872499,18.549999,18.6075,25859200,17.357561
"2011-06-20",18.57,18.584999,18.41,18.512501,22546800,17.268953
"2011-06-21",18.639999,18.797501,18.5375,18.747499,25295200,17.488167
"2011-06-22",18.735001,18.9925,18.6425,18.665001,17722000,17.411211
"2011-06-23",18.547501,18.85,18.5,18.827499,20405600,17.56279
"2011-06-24",18.827499,18.8375,18.3325,18.342501,39700800,17.110374
"2011-06-27",18.4475,18.512501,18.2775,18.4725,20880000,17.231634
"2011-06-28",18.57,18.862499,18.5525,18.82,23297600,17.555798
"2011-06-29",18.98,21.83,18.6975,21.6425,132109200,20.1887
"2011-06-30",21.532499,21.84,20.9825,21.065001,119880400,19.64999
"2011-07-01",21.025,22.2325,20.940001,21.9925,61742400,20.515186
"2011-07-05",21.74,22.200001,21.584999,22.08,33089600,20.596813
"2011-07-06",21.959999,22.307501,21.7125,22.049999,33615200,20.568817
"2011-07-07",22.049999,22.7075,22,22.5375,48524000,21.023581
"2011-07-08",22.2425,22.5375,22.1,22.432501,20818800,20.925631
"2011-07-11",22.1525,22.309999,21.92,21.975,25733600,20.498859
"2011-07-12",22.004999,22.200001,21.897499,21.924999,18421200,20.452225
"2011-07-13",22.035,22.49,22.004999,22.184999,18855600,20.694756
"2011-07-14",22.0625,22.3475,21.945,21.985001,17211600,20.50819
"2011-07-15",22.172501,22.219999,21.9275,22.1875,15998000,20.697088
"2011-07-18",22.08,22.225,21.9275,22.0175,13515200,20.538506
"2011-07-19",22.122499,22.317499,22.049999,22.3025,21594800,20.804367
"2011-07-20",22.372499,22.372499,22.055,22.16,9474400,20.671436
"2011-07-21",22.262501,22.594999,22.01,22.012501,21060400,20.533844
"2011-07-22",22.025,22.445,22.025,22.379999,9035200,20.876656
"2011-07-25",22.16,22.557501,22.092501,22.27,13357200,20.774046
"2011-07-26",22.254999,22.497499,22.174999,22.299999,10704000,20.802032
"2011-07-27",22.08,22.25,21.8125,21.9375,24094800,20.463882
"2011-07-28",22.032499,22.2425,21.665001,21.73,19224800,20.270317
"2011-07-29",21.459999,21.559999,20.9,21.385,16708400,19.948496
"2011-08-01",21.75,21.8325,21.264999,21.42,13512800,19.981144
"2011-08-02",21.25,21.5975,20.889999,20.889999,17327200,19.48674
"2011-08-03",21.1325,21.9375,20.952499,21.870001,35308800,20.400919
