"dates","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume","GILD.Adjusted"
"2017-08-03",75.769997,76,74.300003,74.370003,11161100,65.099709
"2017-08-04",73.730003,73.760002,72.580002,73.160004,14960900,64.04052
"2017-08-07",72.800003,73.5,72.279999,73.440002,7556500,64.285629
"2017-08-08",73.419998,73.669998,72.809998,73.269997,7943900,64.136818
"2017-08-09",72.830002,74.68,72.830002,73.900002,12054600,64.688293
"2017-08-10",73.519997,73.779999,72.529999,72.699997,8813000,63.637875
"2017-08-11",72.519997,72.68,71.82,72.400002,7029700,63.375271
"2017-08-14",72.870003,73.110001,72.559998,72.809998,4952800,63.734154
"2017-08-15",73,73.379997,72.730003,73.120003,5212100,64.005531
"2017-08-16",73.190002,73.769997,73.120003,73.349998,5237300,64.206848
"2017-08-17",73.089996,73.410004,72.279999,72.339996,9065400,63.322735
"2017-08-18",72.32,72.629997,71.830002,72.110001,6052600,63.121403
"2017-08-21",72.080002,72.959999,72.080002,72.599998,5531800,63.550339
"2017-08-22",72.660004,73.760002,72.650002,73.339996,4729300,64.198097
"2017-08-23",73.269997,74.199997,73.059998,73.739998,6499300,64.548225
"2017-08-24",73.809998,74.300003,73.650002,74.019997,4929300,64.79332
"2017-08-25",74.230003,74.43,73.690002,73.790001,3729000,64.59201
"2017-08-28",74.900002,75.940002,74.199997,74.690002,18800000,65.379822
"2017-08-29",74.290001,75.800003,74.220001,75.739998,10688600,66.298935
"2017-08-30",75.82,81.440002,75.739998,81.230003,35927100,71.104599
"2017-08-31",81.5,84.129997,81.470001,83.709999,30895700,73.275467
"2017-09-01",83.360001,84.099998,82.25,83.75,14311600,73.310478
"2017-09-05",83.239998,83.620003,81.349998,82.559998,13491900,72.268806
"2017-09-06",82.849998,83.43,82.510002,82.949997,10694600,72.610184
"2017-09-07",83.120003,85.620003,82.900002,85.470001,13147800,74.816071
"2017-09-08",85.290001,86.269997,84.900002,85.099998,11611100,74.492188
"2017-09-11",85.68,86,84.139999,84.519997,10125200,73.984497
"2017-09-12",84.150002,84.75,83.800003,84.510002,8907900,73.975746
"2017-09-13",84.5,84.510002,83.370003,83.68,7594800,73.249191
"2017-09-14",83.139999,83.139999,81.57,82.290001,9605400,72.482887
"2017-09-15",82.790001,83.5,82.309998,82.360001,12401900,72.54454
"2017-09-18",82.529999,83.5,81.540001,82.970001,7886500,73.081848
"2017-09-19",83.389999,83.389999,82.129997,82.290001,6310500,72.482887
"2017-09-20",82.360001,82.900002,81.839996,82.639999,6355100,72.791161
"2017-09-21",82.730003,83.410004,82.230003,82.620003,6194700,72.773552
"2017-09-22",82.470001,83.370003,82.010002,83.269997,5654700,73.346085
"2017-09-25",83.410004,84.279999,82.860001,83.610001,8473400,73.645584
"2017-09-26",83.669998,84.730003,83.550003,83.760002,7900000,73.777695
"2017-09-27",83.980003,84.550003,83.459999,83.860001,6818500,73.865784
"2017-09-28",83.510002,83.599998,79.209999,80.910004,17739900,71.267365
"2017-09-29",81.199997,81.959999,79.309998,81.019997,13301300,71.364243
"2017-10-02",81.209999,83.629997,81.18,83.519997,9805400,73.566292
"2017-10-03",83.5,84.230003,82.129997,83.190002,6513200,73.27562
