"dates","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume","SLG.Adjusted"
"2012-10-04",82.049431,82.07003,80.39135,80.865089,851082,59.91877
"2012-10-05",80.98867,81.09166,80.329559,80.823891,800978,59.888252
"2012-10-08",80.422241,80.659111,79.90731,80.46344,389371,59.621178
"2012-10-09",80.576721,81.29763,80.07209,80.102989,408985,59.354065
"2012-10-10",80.350151,80.648819,79.53656,80.432541,303049,59.598286
"2012-10-11",81.101959,81.69928,80.823891,81.421211,608914,60.330841
"2012-10-12",81.36972,81.62719,80.38105,80.504631,539488,59.651699
"2012-10-15",80.504631,81.647789,79.9897,81.277031,337131,60.223999
"2012-10-16",81.338829,81.905251,80.504631,80.947479,359561,59.979824
"2012-10-17",80.70031,81.256439,79.45417,80.803299,889922,59.872974
"2012-10-18",80.98867,82.22451,80.813591,81.98764,343443,60.750561
"2012-10-19",81.76107,82.276001,80.710609,80.895981,471129,59.941658
"2012-10-22",79.433571,80.710609,79.433571,80.576721,466954,59.705135
"2012-10-23",79.515961,80.31926,78.90834,80.113281,548130,59.361706
"2012-10-24",80.278061,80.504631,79.485069,79.814621,415005,59.140396
"2012-10-25",81.277031,81.277031,77.178169,78.280121,918954,58.003387
"2012-10-26",78.135941,78.280121,76.807411,77.651901,511426,57.537895
"2012-10-31",77.75489,78.671471,76.54995,77.54892,788355,57.461582
"2012-11-01",77.63131,79.124611,76.879509,78.38311,642025,58.0797
"2012-11-02",78.877449,80.329559,78.76416,79.77343,862636,59.109886
"2012-11-05",79.567459,80.123581,78.352211,78.722969,529972,58.331516
"2012-11-06",79.08342,79.351181,78.496391,79.207001,550266,58.690212
"2012-11-07",78.506691,78.898041,77.250259,77.971161,747670,57.774445
"2012-11-08",77.363541,77.507721,76.210091,76.251289,683681,56.500065
"2012-11-09",76.07621,76.354271,75.334709,75.561279,697275,55.9888
"2012-11-12",76.29248,76.99279,75.643669,76.652931,988090,56.797684
"2012-11-13",76.22039,76.75592,75.3965,76.52935,1679150,56.706131
"2012-11-14",76.828011,76.828011,73.30587,73.61483,1108979,54.546528
"2012-11-15",73.60453,74.521111,72.84243,73.666321,637656,54.584679
"2012-11-16",73.892891,74.346031,72.955719,73.501549,660183,54.462601
"2012-11-19",74.510811,75.355301,73.954689,75.00515,744369,55.576733
"2012-11-20",74.644699,75.437691,74.14006,75.427391,736406,55.889595
"2012-11-21",75.520081,76.210091,74.799179,75.406799,753884,55.874344
"2012-11-23",75.83934,76.580841,75.417099,76.117409,187500,56.400875
"2012-11-26",75.69516,77.518021,75.69516,76.560249,736309,56.729019
"2012-11-27",75.91143,76.68383,74.974251,76.405769,702324,56.614555
"2012-11-28",75.787849,77.136971,75.509781,76.9104,505600,56.988472
"2012-11-29",77.054581,77.579819,76.32338,76.60144,980807,56.759525
"2012-11-30",76.45726,77.76519,76.436661,77.63131,935947,57.522644
"2012-12-03",78.14624,78.331619,77.435631,78.21833,672320,57.957603
"2012-12-04",78.208031,78.640579,77.734299,77.950569,833701,57.759201
"2012-12-05",78.01236,78.23893,77.095779,77.332649,849625,57.301334
"2012-12-06",77.363541,78.115341,77.30175,77.99176,609691,57.789722
"2012-12-07",78.38311,78.671471,77.518021,78.516991,788743,58.178894
"2012-12-10",78.63028,78.877449,77.77549,78.259529,658144,57.988117
"2012-12-11",78.486099,78.743561,78.22863,78.506691,452292,58.171265
"2012-12-12",78.59938,78.722969,77.785789,78.135941,666397,57.896538
"2012-12-13",78.06385,78.52729,77.641609,77.816681,667854,57.659969
"2012-12-14",77.744591,78.516991,77.713699,78.341919,488413,58.049164
"2012-12-17",78.403709,78.712669,77.92997,78.70237,658144,58.316246
"2012-12-18",78.92894,79.557159,78.661171,79.52626,480062,58.92675
"2012-12-19",79.176109,79.60865,78.959831,79.06282,485500,58.583332
"2012-12-20",78.898041,80,78.887749,79.979401,696013,59.262501
"2012-12-21",78.671471,79.54686,78.568489,78.898041,1467181,58.461258
"2012-12-24",78.91864,79.588051,78.22863,79.289391,188277,58.751228
"2012-12-26",79.351181,79.351181,77.90937,78.424309,555800,58.110214
"2012-12-27",78.558189,78.92894,77.7034,78.722969,367038,58.331516
"2012-12-28",78.053551,78.722969,77.270859,77.888771,312953,57.963654
"2012-12-31",77.75489,79.021629,77.497421,78.93924,545702,58.745373
"2013-01-02",80.53553,80.93718,79.639549,80.7724,745825,60.109592
"2013-01-03",80.659111,81.503609,80.288361,80.494339,488025,59.902672
"2013-01-04",80.556129,81.14315,80.339859,80.823891,339656,60.147907
"2013-01-07",80.484039,81.441811,80.360451,81.338829,426172,60.531136
"2013-01-08",81.45211,81.596291,80.67971,80.968071,622508,60.255203
"2013-01-09",81.15345,81.668381,81.15345,81.30793,723589,60.508118
"2013-01-10",81.483009,81.83316,80.91658,81.421211,767964,60.592445
"2013-01-11",81.40062,81.637489,81.16375,81.483009,395780,60.638424
"2013-01-14",81.39032,81.513901,80.906281,81.174049,744563,60.408512
"2013-01-15",80,81.85376,80,81.709579,434231,60.807022
"2013-01-16",81.14315,81.76107,81.00927,81.69928,314798,60.79937
"2013-01-17",81.84346,82.08033,81.60659,81.68898,417045,60.791702
"2013-01-18",81.812561,82.67765,81.5448,82.62616,601437,61.489113
"2013-01-22",82.45108,83.800209,81.132851,83.048401,864287,61.803364
"2013-01-23",82.83213,83.14109,82.636459,82.739441,351405,61.573429
