"dates","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2014-03-31",70.360001,70.989998,67,67.309998,1576600,63.930115
"2014-04-01",67.300003,68.650002,65,66.410004,1014200,63.075325
"2014-04-02",66.480003,69.400002,66.129997,68.970001,921400,65.506783
"2014-04-03",68.879997,69.68,67.010002,67.910004,903100,64.500008
"2014-04-04",68.410004,69.68,66.370003,67.25,657400,63.873135
"2014-04-07",66.699997,66.790001,64.050003,65.169998,1101200,61.897572
"2014-04-08",65.169998,67.059998,64.400002,66.599998,873500,63.255783
"2014-04-09",67.370003,68.870003,66.620003,68.059998,722000,64.642464
"2014-04-10",68,68.339996,64.43,65.629997,823300,62.334476
"2014-04-11",65.300003,70.720001,64.5,67.599998,2507100,64.205559
"2014-04-14",68.440002,70.989998,68,70.120003,1028000,66.599022
"2014-04-15",68.93,70.470001,66.82,69.080002,1323400,65.611244
"2014-04-16",70.160004,71.559998,69.239998,70.489998,876500,66.950447
"2014-04-17",70.699997,74.139999,70.550003,73.339996,910900,69.657341
"2014-04-21",74.019997,74.650002,71.860001,74.519997,982400,70.778084
"2014-04-22",75.43,76.720001,73.959999,74.260002,952200,70.531151
"2014-04-23",74.370003,75.18,73.370003,73.889999,641000,70.179726
"2014-04-24",74.25,75.889999,73.199997,75.419998,848300,71.632896
"2014-04-25",75.279999,75.279999,71.129997,71.440002,1041800,67.85276
"2014-04-28",71.5,72.559998,69.32,70.959999,647800,67.396835
"2014-04-29",71.519997,73.010002,71.080002,72.220001,836800,68.59359
"2014-04-30",72.010002,72.370003,70.199997,71.940002,780200,68.327644
"2014-05-01",72.040001,73.540001,70.309998,71.269997,686200,67.691277
"2014-05-02",71.949997,74.290001,71.410004,73.769997,886500,70.065742
"2014-05-05",73.07,75.040001,72.550003,73.629997,629800,69.932777
"2014-05-06",73.389999,73.989998,72.669998,73.25,890900,69.571861
"2014-05-07",73.720001,76.5,71.599998,75.720001,1760300,71.917824
"2014-05-08",72.589996,75,70.779999,71.760002,2311400,68.15667
"2014-05-09",70.279999,73.080002,70.110001,71.239998,904500,67.662788
"2014-05-12",71.68,74.760002,71.010002,72.720001,1706500,69.068474
"2014-05-13",73.230003,74.43,72.25,73.730003,955600,70.027763
