"dates","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2012-01-13",38.127369,38.339649,37.937832,38.278999,3340236,25.038004
"2012-01-17",38.658073,38.999241,38.400303,38.53677,3263602,25.206608
"2012-01-18",38.423046,39.150871,38.37756,39.105385,3655609,25.578526
"2012-01-19",39.257011,39.264595,38.877937,39.059895,2712919,25.548782
"2012-01-20",39.105385,39.234268,38.817287,38.923428,3962936,25.459517
"2012-01-23",38.968918,39.408642,38.946171,39.347992,4701312,25.737225
"2012-01-24",39.067474,40.09856,38.938591,40.030327,5714436,26.183529
"2012-01-25",39.871113,40.333588,39.620926,40.2047,3815735,26.297586
"2012-01-26",40.280518,40.326004,39.742229,39.909023,4413242,26.104185
"2012-01-27",39.590599,39.886276,39.499622,39.620926,3909516,25.915745
"2012-01-30",39.347992,39.749809,39.044731,39.749809,4429334,26.000048
"2012-01-31",39.613342,40.333588,39.347992,39.810463,5713117,26.039721
"2012-02-01",40.030327,40.636845,39.886276,40.15163,6540393,26.262875
"2012-02-02",40.181957,40.454891,39.863533,39.916603,3645320,26.109146
"2012-02-03",40.409401,40.462471,39.984837,40.083397,4114752,26.218243
"2012-02-06",39.818043,40.166794,39.802879,40.04549,1944602,26.193459
"2012-02-07",39.78772,40.007584,39.529945,39.757393,2382246,26.005011
"2012-02-08",39.704323,39.7953,39.347992,39.454132,4925278,25.806639
"2012-02-09",39.514786,39.780136,39.363155,39.658833,6426696,25.940536
"2012-02-10",39.294922,39.408642,38.900681,39.067474,5551143,25.553734
"2012-02-13",39.423805,39.514786,39.120544,39.355572,4974872,25.742186
"2012-02-14",39.188778,39.385899,38.931007,39.219105,3788696,25.652918
"2012-02-15",39.264595,39.340408,38.756634,38.832451,4111851,25.400009
"2012-02-16",38.855194,39.772556,38.711143,39.719482,4172525,25.980211
"2012-02-17",39.84079,39.962093,39.560272,39.749809,3148849,26.000048
"2012-02-21",40.04549,40.379074,39.90144,40.348747,3860317,26.391809
"2012-02-22",40.250191,40.409401,40.04549,40.265354,2999934,26.337261
