"dates","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2016-03-10",58.038559,58.164291,56.295055,57.309303,3278125,54.833702
"2016-03-11",58.222965,59.279129,58.055325,58.910309,3046564,56.365547
"2016-03-14",58.31517,58.968987,57.988266,58.725903,1668053,56.189117
"2016-03-15",58.935455,59.55574,58.122379,59.497066,1641091,56.926956
"2016-03-16",59.321037,60.754402,59.28751,60.469406,3316301,57.857304
"2016-03-17",60.695724,61.483654,60.243084,61.274097,3173261,58.627232
"2016-03-18",61.508801,61.634537,60.52808,60.888515,3514459,58.258308
"2016-03-21",60.821461,60.97234,60.058678,60.653812,2017482,58.033741
"2016-03-22",60.033527,61.642918,60.033527,61.408215,2489433,58.755562
"2016-03-23",61.081306,61.282482,60.595139,60.804695,2211941,58.178104
"2016-03-24",60.226318,60.846603,59.47192,60.662197,2767402,58.041763
"2016-03-28",60.754402,61.131599,60.435875,60.569992,1338427,57.953541
"2016-03-29",60.26823,62.003353,60.142498,61.961441,1866926,59.284878
"2016-03-30",62.548199,63.587593,62.305115,62.791283,2454836,60.078884
"2016-03-31",62.791283,63.595978,62.55658,62.883488,2400435,60.167099
"2016-04-01",62.179379,62.590111,60.536465,61.76865,2159688,59.100418
"2016-04-04",61.441746,61.592625,59.086338,59.371334,4308042,56.80666
"2016-04-05",58.49958,59.966473,57.527241,59.522213,2584396,56.951019
"2016-04-06",59.388096,60.092205,58.717518,60.067059,2645597,57.47234
"2016-04-07",59.983234,61.081306,59.396481,59.681477,3811516,57.103405
"2016-04-08",60.393967,61.31601,59.907795,60.008381,1970478,57.416191
"2016-04-11",60.544846,61.391449,60.209557,60.871754,2743661,58.242268
"2016-04-12",61.198658,61.341156,60.201176,60.645432,2553855,58.025726
"2016-04-13",61.559093,64.107292,61.441746,64.056999,4970277,61.289917
"2016-04-14",64.199493,65.129929,63.344509,64.702431,3232434,61.907475
"2016-04-15",64.618607,64.911987,63.629505,63.889355,3967679,61.129513
"2016-04-18",64.518021,64.551552,63.679798,64.132439,1912618,61.362095
"2016-04-19",64.694046,64.886841,63.897736,64.35038,2931320,61.570625
"2016-04-20",64.618607,64.85331,63.889355,64.233025,2354028,61.458347
"2016-04-21",64.40905,64.803017,63.61274,63.704945,1944232,60.953072
"2016-04-22",63.688183,63.839062,62.782902,63.478626,2332554,60.73653
"2016-04-25",63.19363,63.805531,63.025986,63.738476,1697758,60.985153
"2016-04-26",63.998325,65.305954,63.889355,65.272423,1911783,62.452839
"2016-04-27",65.188599,65.381393,64.182732,64.559937,2111610,61.77113
"2016-04-28",63.704945,63.864208,61.927914,62.858341,2218622,60.14304
"2016-04-29",63.00922,63.00922,61.383068,61.718357,2588810,59.052303
"2016-05-02",62.087173,62.087173,61.458508,61.785416,2485019,59.116459
"2016-05-03",61.139984,61.944675,60.033527,61.332775,2794960,58.683369
"2016-05-04",60.854988,61.609386,58.382229,58.751049,6123192,56.213169
"2016-05-05",59.270744,59.572506,58.088852,58.097233,3541898,55.587597
"2016-05-06",57.996647,59.237217,57.70327,59.061192,2356652,56.509914
"2016-05-09",58.616932,59.237217,58.608551,58.692371,1394498,56.389114
"2016-05-10",58.918694,59.891029,58.717518,59.765297,1575476,57.419937
"2016-05-11",59.832355,60.058678,58.901928,58.910309,1661253,56.598499
"2016-05-12",59.463535,59.715004,58.256496,58.398994,1584901,56.10725
"2016-05-13",58.172672,58.809723,57.242245,57.393127,1941250,55.140865
"2016-05-16",57.594299,57.820621,56.974014,57.485332,2227570,55.229443
"2016-05-17",57.108131,57.275776,55.901089,56.211231,3569098,54.005341
"2016-05-18",56.043587,57.066219,55.683151,56.420788,3237921,54.20668
"2016-05-19",56.160938,56.521374,55.004192,55.205364,2649892,53.038948
